line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
4098,"Is there one among the sex who would not
protest against such a weakness as a second proposal to the same woman?",is there one among the sex who would not protest against such a weakness as a second proposal to the same woman?,113,112,,
4099,"There is no indignity so abhorrent to their feelings.”

She was a little revived, however, by his bringing back his coffee-cup
himself; and she seized the opportunity of saying,--

“Is your sister at Pemberley still?”

“Yes; she will remain there till Christmas.”

“And quite alone?","there is no indignity so abhorrent to their feelings."" she was a little revived, however, by his bringing back his coffee-cup himself; and she seized the opportunity of saying,-- ""is your sister at pemberley still?"" ""yes; she will remain there till christmas."" ""and quite alone?",291,278,,
4100,"Have all her friends left her?”

“Mrs.","have all her friends left her?"" ""mrs.",40,37,,
4101,Annesley is with her.,annesley is with her.,21,21,,
4102,"The others have been gone on to Scarborough
these three weeks.”

She could think of nothing more to say; but if he wished to converse
with her, he might have better success.","the others have been gone on to scarborough these three weeks."" she could think of nothing more to say; but if he wished to converse with her, he might have better success.",177,172,,
4103,"He stood by her, however, for
some minutes, in silence; and, at last, on the young lady’s whispering
to Elizabeth again, he walked away.","he stood by her, however, for some minutes, in silence; and, at last, on the young lady's whispering to elizabeth again, he walked away.",138,136,,
4104,"When the tea things were removed, and the card tables placed, the ladies
all rose; and Elizabeth was then hoping to be soon joined by him, when
all her views were overthrown, by seeing him fall a victim to her
mother’s rapacity for whist players, and in a few moments after seated
with the rest of the party.","when the tea things were removed, and the card tables placed, the ladies all rose; and elizabeth was then hoping to be soon joined by him, when all her views were overthrown, by seeing him fall a victim to her mother's rapacity for whist players, and in a few moments after seated with the rest of the party.",312,308,,
4105,She now lost every expectation of pleasure.,she now lost every expectation of pleasure.,43,43,,
4106,"They were confined for the evening at different tables; and she had
nothing to hope, but that his eyes were so often turned towards her side
of the room, as to make him play as unsuccessfully as herself.","they were confined for the evening at different tables; and she had nothing to hope, but that his eyes were so often turned towards her side of the room, as to make him play as unsuccessfully as herself.",205,203,,
4107,"Mrs. Bennet had designed to keep the two Netherfield gentlemen to
supper; but their carriage was, unluckily, ordered before any of the
others, and she had no opportunity of detaining them.","mrs. bennet had designed to keep the two netherfield gentlemen to supper; but their carriage was, unluckily, ordered before any of the others, and she had no opportunity of detaining them.",190,188,,
4108,"“Well, girls,” said she, as soon as they were left to themselves, “what
say you to the day?","""well, girls,"" said she, as soon as they were left to themselves, ""what say you to the day?",92,91,,
4109,"I think everything has passed off uncommonly well, I
assure you.","i think everything has passed off uncommonly well, i assure you.",65,64,,
4110,The dinner was as well dressed as any I ever saw.,the dinner was as well dressed as any i ever saw.,49,49,,
4111,"The
venison was roasted to a turn--and everybody said, they never saw so fat
a haunch.","the venison was roasted to a turn--and everybody said, they never saw so fat a haunch.",88,86,,
4112,"The soup was fifty times better than what we had at the
Lucases’ last week; and even Mr. Darcy acknowledged that the partridges
were remarkably well done; and I suppose he has two or three French
cooks at least.",the soup was fifty times better than what we had at the lucases' last week, and even mr. darcy acknowledged that the partridges were remarkably well done, and i suppose he has two or three french cooks at least.,214,211
4113,"And, my dear Jane, I never saw you look in greater
beauty.","and, my dear jane, i never saw you look in greater beauty.",59,58,,
4114,"Mrs. Long said so too, for I asked her whether you did not.","mrs. long said so too, for i asked her whether you did not.",59,59,,
4115,"And
what do you think she said besides?",and what do you think she said besides?,40,39,,
4116,‘Ah!,'ah!,4,4,,
4117,"Mrs. Bennet, we shall have her
at Netherfield at last!’ She did, indeed.","mrs. bennet, we shall have her at netherfield at last!' she did, indeed.",73,72,,
4118,"I do think Mrs. Long is as
good a creature as ever lived--and her nieces are very pretty behaved
girls, and not at all handsome: I like them prodigiously.”

[Illustration:

     “M^{rs}.","i do think mrs. long is as good a creature as ever lived--and her nieces are very pretty behaved girls, and not at all handsome: i like them prodigiously."" [illustration: ""m^{rs}.",192,179,,
